70	-.7599814	2.600759	.3348944	-1.270953	.3519772
71	-.7719013	2.55415	.3210961	-1.259267	.3519772
72	-.7743046	2.507542	.3072977	-1.247581	.3519772
73	-.7680932	2.460934	.2934994	-1.235895	.3519772
74	-.7541689	2.414325	.2797011	-1.224209	.3519772
75	-.7334337	2.367717	.2659027	-1.212523	.3519772
76	-.7067895	2.321109	.2521044	-1.200836	.3519772
77	-.675138	2.274501	.2383061	-1.18915	.3519772
78	-.6393813	2.227893	.2245077	-1.177464	.3519772
79	-.6004211	2.181284	.2107094	-1.165778	.3519772
80	-.5591595	2.134676	.1969111	-1.154092	.3519772
81	-.5164981	2.088068	.1831127	-1.142406	.3519772
82	-.473339	2.04146	.1693144	-1.13072	.3519772
83	-.4305839	1.994851	.1555161	-1.119033	.3519772
84	-.3891349	1.948243	.1417177	-1.107347	.3519772
85	-.3498937	1.901635	.1279194	-1.095661	.3519772
86	-.3137623	1.855027	.1141211	-1.083975	.3519772
87	-.2816426	1.808418	.1003227	-1.072289	.3519772
88	-.2544363	1.76181	.0865244	-1.060603	.3519772
89	-.2330454	1.715202	.0727261	-1.048917	.3519772
90	-.2183719	1.668594	.0589277	-1.037231	.3519772
91	-.2113174	1.621985	.0451294	-1.025545	.3519772
92	-.2127841	1.575377	.0313311	-1.013858	.3519772
93	-.2236736	1.528769	.0175327	-1.002172	.3519772
94	-.2448879	1.482161	.0037344	-.9904861	.3519772
95	-.277329	1.435552	-.0100639	-.9788	.3519772
96	-.3218986	1.388944	-.0238623	-.9671139	.3519772
97	-.3794986	1.342336	-.0376606	-.9554277	.3519772
98	-.451031	1.295728	-.0514589	-.9437416	.3519772
99	-.5373976	1.249119	-.0652573	-.9320555	.3519772
100	-.6395003	1.202511	-.0790556	-.9203693	.3519772
101	-.7582409	1.155903	-.0928539	-.9086832	.3519772
102	-.8945215	1.109295	-.1066523	-.8969971	.3519772
