70	-1.094554	-.6711934	0
71	-1.112593	-.6817632	0
72	-1.134112	-.6923331	0
73	-1.157964	-.7029029	0
74	-1.183139	-.7134728	0
75	-1.208691	-.7240426	0
76	-1.233812	-.7346125	0
77	-1.257761	-.7451823	0
78	-1.279934	-.7557521	0
79	-1.299792	-.766322	0
80	-1.316934	-.7768918	0
81	-1.331026	-.7874617	0
82	-1.341869	-.7980315	0
83	-1.349332	-.8086014	0
84	-1.35342	-.8191712	0
85	-1.354205	-.8297411	0
86	-1.351897	-.8403109	0
87	-1.346769	-.8508807	0
88	-1.339234	-.8614506	0
89	-1.32977	-.8720204	0
90	-1.318993	-.8825902	0
91	-1.307585	-.8931601	0
92	-1.296363	-.9037299	0
93	-1.286214	-.9142998	0
94	-1.278158	-.9248696	0
95	-1.273285	-.9354395	0
96	-1.272819	-.9460093	0
97	-1.278052	-.9565791	0
98	-1.290412	-.967149	0
99	-1.311396	-.9777188	0
100	-1.342633	-.9882887	0
101	-1.385824	-.9988585	0
102	-1.442802	-1.009428	0
